address,LATITUDE,LONGITUDE
106 BISHAN STREET 12,1.3460813,103.8478418
106 BUKIT BATOK CENTRAL,1.3468132,103.7469058
106 BUKIT PURMEI ROAD,1.2730595,103.8256319
106 GANGSA ROAD,1.3779305,103.7674093
106 HENDERSON CRESCENT,1.2896796,103.822309
106 HOUGANG AVENUE 1,1.3537609,103.8905848
106 JALAN DUSUN,1.3289274,103.8445756
106 JALAN RAJAH,1.327977,103.8549438
106 JURONG EAST STREET 13,1.335999,103.7438478
106 LENGKONG TIGA,1.3251052,103.909913
106 PASIR RIS STREET 12,1.3679294,103.9577231
106 POTONG PASIR AVENUE 1,1.3341008,103.8681291
106 RIVERVALE WALK,1.3826215,103.9001644
106 SERANGOON NORTH AVENUE 1,1.3701768,103.8710717
106 SIMEI STREET 1,1.3417239,103.9512311
106 SPOTTISWOODE PARK ROAD,1.2736408,103.834069
106 TAMPINES STREET 11,1.3475736,103.9476641
106 TECK WHYE LANE,1.3779907,103.7529237
106 TOWNER ROAD,1.3210766,103.8609573
106 WOODLANDS STREET 13,1.4367747,103.7822736
106 YISHUN RING ROAD,1.4320144,103.8273108
106A BIDADARI PARK DRIVE,1.3343102,103.871153
106A DEPOT ROAD,1.2806508,103.8110806
106A PUNGGOL FIELD,1.3967298,103.9085388
106B BIDADARI PARK DRIVE,1.3340665,103.871491
106B DEPOT ROAD,1.2807056,103.8107585
106B PUNGGOL FIELD,1.3972488,103.9078626
106C PUNGGOL FIELD,1.3973908,103.9075469
106D PUNGGOL FIELD,1.3976862,103.9072601
107 ALJUNIED CRESCENT,1.3189704,103.8842922
107 ANG MO KIO AVENUE 4,1.3714168,103.8372427
107 BEDOK NORTH ROAD,1.3323835,103.9362872
107 BEDOK RESERVOIR ROAD,1.3298823,103.9091749
107 BISHAN STREET 12,1.3464367,103.8479194
107 BUKIT BATOK WEST AVENUE 6,1.3478628,103.7465947
107 BUKIT PURMEI ROAD,1.2730513,103.8244368
107 GANGSA ROAD,1.3780642,103.7667542
107 JALAN BUKIT MERAH,1.2798711,103.8247968
107 JALAN RAJAH,1.3277885,103.8550451
107 JURONG EAST STREET 13,1.3379783,103.7373477
107 LENGKONG TIGA,1.3249626,103.9102118
107 LORONG 1 TOA PAYOH,1.3412358,103.8474196
107 PASIR RIS STREET 12,1.3683311,103.9567442
107 POTONG PASIR AVENUE 1,1.3346455,103.8683117
107 RIVERVALE WALK,1.3828965,103.9003772
107 SERANGOON NORTH AVENUE 1,1.3698324,103.8701418
107 SIMEI STREET 1,1.3423571,103.9508822
107 TAMPINES STREET 11,1.348199,103.9478343
107 TECK WHYE LANE,1.3779748,103.7535945
107 TOWNER ROAD,1.3197035,103.8600707
107 WOODLANDS STREET 13,1.4373046,103.7822689
107 YISHUN RING ROAD,1.4322419,103.8270088
107A CANBERRA STREET,1.4499215,103.8328743
107A EDGEFIELD PLAINS,1.3971387,103.9069908
107B CANBERRA STREET,1.4493007,103.8333434
107B EDGEFIELD PLAINS,1.3970498,103.9073385
107C CANBERRA STREET,1.4486434,103.833701
107C EDGEFIELD PLAINS,1.3968838,103.9073754
107D EDGEFIELD PLAINS,1.3963545,103.9078834
108 ALJUNIED CRESCENT,1.3191155,103.885217
108 ANG MO KIO AVENUE 4,1.3710589,103.8378599
108 BEDOK NORTH ROAD,1.3327098,103.9361971
108 BEDOK RESERVOIR ROAD,1.3301817,103.9095118
108 BISHAN STREET 12,1.3467216,103.8473584
108 BUKIT BATOK WEST AVENUE 6,1.3474563,103.7466016
108 BUKIT PURMEI ROAD,1.273537,103.8254358
108 COMMONWEALTH CRESCENT,1.3075244,103.7991051
108 GANGSA ROAD,1.3776908,103.7671602
108 HOUGANG AVENUE 1,1.3537492,103.8906493
108 JALAN BUKIT MERAH,1.2791735,103.8256468
108 JALAN RAJAH,1.3280958,103.855501
108 JURONG EAST STREET 13,1.3378895,103.7368625
108 LENGKONG TIGA,1.324574,103.910072
108 LORONG 1 TOA PAYOH,1.3415532,103.8473064
108 MCNAIR ROAD,1.3217923,103.8595965
108 PASIR RIS STREET 12,1.368336,103.9567018
108 POTONG PASIR AVENUE 1,1.3350245,103.8678461
108 RIVERVALE WALK,1.3829138,103.8998486
108 SERANGOON NORTH AVENUE 1,1.369859,103.8712259
108 SIMEI STREET 1,1.3430505,103.9510389
108 TAMPINES STREET 11,1.3478773,103.9485738
108 TECK WHYE LANE,1.3783397,103.7529424
108 WOODLANDS STREET 13,1.4372063,103.7815709
108 YISHUN RING ROAD,1.4323022,103.8290596
108A CANBERRA WALK,1.4478963,103.8312672
108B CANBERRA WALK,1.4482301,103.8320019
108B MCNAIR ROAD,1.3202092,103.8590256
108C CANBERRA WALK,1.4474446,103.8317248
108C MCNAIR ROAD,1.3199364,103.8594664
109 ALJUNIED CRESCENT,1.3193997,103.8844394
109 ANG MO KIO AVENUE 4,1.3701806,103.8376554
109 BEDOK NORTH ROAD,1.3319994,103.9347112
109 BEDOK RESERVOIR ROAD,1.3298069,103.9097998
109 BISHAN STREET 12,1.3467612,103.8479386
109 BUKIT BATOK WEST AVENUE 6,1.3470408,103.7461153
109 BUKIT PURMEI ROAD,1.2739482,103.8252941
109 CLEMENTI STREET 11,1.3216181,103.7704655
109 COMMONWEALTH CRESCENT,1.3072749,103.7991865
109 GANGSA ROAD,1.3774032,103.7680246
109 HOUGANG AVENUE 1,1.3553174,103.8894358
109 JALAN BUKIT MERAH,1.2794526,103.8260532
109 JURONG EAST STREET 13,1.3383251,103.7358405
109 LENGKONG TIGA,1.3246378,103.9106805
109 LORONG 1 TOA PAYOH,1.3412033,103.8466221
109 MCNAIR ROAD,1.3216861,103.859158
109 PASIR RIS STREET 11,1.36814,103.9563371
109 POTONG PASIR AVENUE 1,1.3348668,103.8674117
109 RIVERVALE WALK,1.383212,103.8995917
109 SERANGOON NORTH AVENUE 1,1.3694883,103.8708692
109 SIMEI STREET 1,1.3422602,103.9501757
109 SPOTTISWOODE PARK ROAD,1.2741176,103.8366124
109 TAMPINES STREET 11,1.3473591,103.9486624
109 TECK WHYE LANE,1.3786069,103.7520467
109 WHAMPOA ROAD,1.3269529,103.8555495
109 WOODLANDS STREET 13,1.437436,103.7809763
109 YISHUN RING ROAD,1.4327658,103.8285466
109A DEPOT ROAD,1.2809662,103.8095649
109A EDGEDALE PLAINS,1.3941892,103.9097658
109B DEPOT ROAD,1.281023,103.8092268
109B EDGEDALE PLAINS,1.3953956,103.9099359
109C EDGEDALE PLAINS,1.395182,103.909279
109D EDGEDALE PLAINS,1.3955288,103.9087938
10A BENDEMEER ROAD,1.3149743,103.8606044
10A BOON TIONG ROAD,1.2863582,103.8295373
10B BEDOK SOUTH AVENUE 2,1.3224106,103.9361535
10B BENDEMEER ROAD,1.3157334,103.8604747
10B BOON TIONG ROAD,1.2863286,103.8291287
10B LORONG 7 TOA PAYOH,1.337209,103.8582748
10C BENDEMEER ROAD,1.3160699,103.8604644
10D BEDOK SOUTH AVENUE 2,1.3217542,103.9362981
10E BEDOK SOUTH AVENUE 2,1.3217086,103.9370977
10F BEDOK SOUTH AVENUE 2,1.3221219,103.9368841
11 CANTONMENT CLOSE,1.2744356,103.8396858
11 CHAI CHEE ROAD,1.3269222,103.9247765
11 EUNOS CRESCENT,1.3218626,103.9044476
11 FARRER PARK ROAD,1.3123333,103.852015
11 HAIG ROAD,1.3148477,103.8966275
11 HOLLAND DRIVE,1.309007,103.7940607
11 JALAN BATU,1.3016449,103.8826713
11 JALAN BUKIT MERAH,1.2866867,103.8089019
11 JOO SENG ROAD,1.3350151,103.8807028
11 LORONG 8 TOA PAYOH,1.3372244,103.8587539
11 MARSILING DRIVE,1.4403584,103.7779061
11 PINE CLOSE,1.3078885,103.8827791
11 SAINT GEORGE'S ROAD,1.3230992,103.8632504
11 TECK WHYE LANE,1.3797358,103.7549172
11 TOH YI DRIVE,1.3380227,103.772352
11 UPPER BOON KENG ROAD,1.3141813,103.8706845
110 ALJUNIED CRESCENT,1.3199763,103.8844326
110 ANG MO KIO AVENUE 4,1.3705297,103.8375438
110 BEDOK NORTH ROAD,1.3324259,103.9348602
110 BEDOK RESERVOIR ROAD,1.3301807,103.9103479
110 BISHAN STREET 12,1.3474114,103.8476438
110 BUKIT BATOK WEST AVENUE 6,1.3475652,103.7457973
